item,counts,Rec1,Rec2,Rec3,Rec4,Rec5,Rec6,Rec7,Rec8,Rec9,Rec10,Rec11,Rec12,Rec13,Rec14,Rec15,Rec16,Send_1~5,Send_6~9,Send_10,Send_11~16
가공식품,3,5,0,1,1,0,0,0,2,1,5,0,6,8,1,0,0,22,5,9,4
농산물,3,4,1,3,9,0,0,0,1,0,2,0,1,3,2,0,0,7,7,8,18
농산물,3,4,8,1,2,5,0,0,0,0,3,0,2,4,1,0,0,7,7,8,18
농산물,4,4,4,7,6,0,0,0,2,0,6,0,2,8,4,0,0,9,10,1,12
농산물,4,2,7,2,9,0,0,0,0,2,0,0,9,0,3,0,0,9,10,1,12
농산물,4,4,6,1,3,0,0,0,5,8,3,0,6,7,2,0,0,9,10,5,7
농산물,3,1,1,1,1,0,0,0,0,2,2,0,9,9,4,0,0,9,9,2,12
분유/이유식/아기간식,3,5,0,1,3,0,0,0,8,6,0,0,2,0,2,0,0,19,1,1,5
농산물,7,1,1,3,5,0,0,0,0,0,4,0,9,2,3,0,0,7,8,7,8
농산물,3,1,1,5,6,0,0,0,0,1,2,0,0,2,4,0,0,9,7,0,14
기타화장품/미용,3,5,0,1,3,0,0,0,8,1,8,0,6,4,3,0,0,16,1,5,13
가공식품,6,5,0,1,1,0,0,0,1,4,2,0,6,6,3,0,0,13,0,3,9
기저귀/물티슈,3,5,0,1,1,0,0,0,4,6,7,0,3,2,2,0,0,15,7,7,14
농산물,3,4,1,4,3,0,0,0,0,1,1,0,6,6,4,0,0,9,10,1,12
패션소품,4,5,0,1,3,0,0,0,8,0,9,0,5,0,2,0,0,21,4,8,15
축산,4,4,6,1,1,0,0,0,0,3,1,0,0,9,4,0,0,7,4,4,6
가공식품,3,5,0,1,1,0,0,0,4,2,2,0,3,6,1,0,0,17,2,3,6
음료,4,5,0,1,1,0,0,0,2,6,4,0,9,9,4,0,0,21,5,8,5
농산물,3,4,8,2,2,0,0,0,2,1,7,0,1,7,1,0,0,7,4,7,4
축산,8,4,4,2,7,0,0,0,7,2,4,0,1,6,1,0,0,7,17,6,9
바디케어,4,5,0,1,1,0,0,0,1,7,2,0,3,4,4,0,0,12,4,0,11
음반,4,4,1,1,1,7,0,0,0,0,6,0,5,0,2,0,0,7,14,5,11
수산,13,3,0,1,7,0,0,0,0,1,4,0,8,5,2,0,0,7,7,8,18
농산물,3,4,6,1,1,0,0,0,0,4,7,0,3,7,4,0,0,9,4,5,3
문화컨텐츠,3,5,0,1,1,0,0,0,4,3,5,0,4,4,2,0,0,17,12,3,12
농산물,10,4,7,2,5,0,0,0,8,3,7,0,7,4,1,0,0,7,13,8,9
농산물,5,4,6,1,1,0,0,0,0,3,2,0,9,2,4,0,0,9,14,7,10
농산물,3,1,1,5,6,0,0,0,0,1,5,0,5,0,4,0,0,7,9,6,7
스킨케어,5,5,0,1,1,0,0,0,5,4,3,0,4,1,1,0,0,15,1,9,8
음반,3,2,7,2,3,0,0,0,0,6,1,0,5,7,4,0,0,7,14,5,11
농산물,12,4,7,1,9,0,0,0,5,5,3,0,5,2,1,0,0,7,10,3,14
생활용품,3,5,0,1,3,0,0,0,8,1,0,0,6,3,2,0,0,19,6,9,16
상의,3,5,0,1,1,0,0,0,4,3,5,0,4,2,2,0,0,13,1,4,12
과자,18,4,1,6,1,0,0,0,2,4,8,0,2,3,4,0,0,7,3,5,9
수산,3,2,9,2,0,0,0,0,1,5,3,0,6,7,3,0,0,7,4,6,9
음료,4,5,0,1,3,0,0,0,0,3,3,0,0,4,2,0,0,10,2,1,4
침구단품,3,5,0,1,1,0,0,0,3,7,1,0,4,7,2,0,0,20,1,8,5
농산물,3,4,1,1,5,0,0,0,0,7,4,0,8,1,3,0,0,7,7,8,18
농산물,3,1,1,5,0,0,0,0,0,2,9,0,2,5,1,0,0,7,7,8,18
농산물,3,4,1,1,1,3,0,0,0,1,2,0,4,0,1,0,0,7,7,8,18
농산물,4,4,7,2,1,0,0,0,4,4,9,0,7,7,3,0,0,7,7,8,18
농산물,3,1,1,5,0,0,0,0,0,3,1,0,4,6,3,0,0,9,7,4,15
가공식품,4,5,0,1,1,0,0,0,2,6,5,0,4,2,3,0,0,14,6,5,5
농산물,3,1,1,5,9,0,0,0,0,0,4,0,1,2,4,0,0,7,4,7,4
스킨케어,3,5,0,1,1,0,0,0,3,7,4,0,8,7,4,0,0,16,0,5,8
문화컨텐츠,4,5,0,1,1,0,0,0,3,1,3,0,9,6,3,0,0,17,15,0,9
상의,3,5,0,1,1,0,0,0,3,1,4,0,6,2,3,0,0,24,0,5,11
농산물,3,4,1,1,1,1,0,0,0,1,9,0,4,3,3,0,0,7,7,8,18
수산,3,2,8,2,0,0,0,0,0,3,1,0,7,9,4,0,0,7,7,8,11
농산물,3,4,5,7,1,0,0,0,4,8,9,0,2,0,1,0,0,7,3,7,10
농산물,3,1,1,6,5,0,0,0,0,1,3,0,7,6,2,0,0,9,10,1,12
농산물,3,1,1,3,2,0,0,0,0,1,6,0,7,9,4,0,0,7,14,5,14
음료,3,4,6,7,7,0,0,0,4,6,9,0,2,0,3,0,0,7,10,2,5
기타식품,9,4,1,4,6,1,0,0,2,8,0,0,9,5,2,0,0,7,8,3,14
농산물,5,4,1,2,8,1,0,0,1,3,5,0,6,0,2,0,0,9,13,0,11
농산물,5,4,4,1,5,0,0,0,1,0,9,0,3,2,1,0,0,9,10,5,7
농산물,3,4,1,2,7,1,0,0,0,4,6,0,5,0,3,0,0,7,4,7,4
반려동물,5,5,0,1,1,0,0,0,3,1,3,0,9,8,4,0,0,17,15,9,11
음반,6,1,1,5,4,5,0,0,0,0,1,0,5,5,1,0,0,7,14,5,11
바디케어,3,5,0,1,1,0,0,0,4,8,7,0,7,3,3,0,0,15,1,9,8
가공식품,5,4,3,1,3,0,0,0,4,3,7,0,4,4,3,0,0,7,8,2,22
농산물,4,4,1,3,7,0,0,0,0,1,5,0,9,4,1,0,0,9,2,2,8
농산물,6,1,1,1,1,0,0,0,0,2,3,0,4,9,4,0,0,7,10,2,10
농산물,4,4,1,3,9,0,0,0,1,2,5,0,5,4,4,0,0,9,4,5,3
농산물,3,4,8,2,4,0,0,0,4,6,4,0,4,3,2,0,0,9,7,4,13
농산물,13,4,4,2,1,0,0,0,7,4,6,0,7,9,4,0,0,7,3,7,10
농산물,4,4,1,1,3,3,0,0,0,1,0,0,4,8,1,0,0,9,13,4,11
농산물,4,3,0,1,4,0,0,0,0,1,2,0,2,4,1,0,0,9,15,1,10
농산물,5,1,1,6,5,0,0,0,0,1,0,0,7,8,2,0,0,9,10,1,12
농산물,3,1,1,2,0,0,0,0,0,0,1,0,3,9,3,0,0,7,7,8,18
농산물,3,1,1,2,3,0,0,0,0,1,1,0,8,5,4,0,0,9,14,7,10
농산물,5,4,8,2,5,0,0,0,4,6,1,0,3,1,4,0,0,9,9,2,5
주방가전,3,4,1,4,6,3,0,0,0,3,2,0,3,8,4,0,0,7,7,8,11
수산,8,4,5,1,4,0,0,0,4,3,6,1,0,0,1,0,0,7,4,6,9
농산물,4,4,3,7,5,0,0,0,2,0,9,0,3,7,2,0,0,7,7,6,9
가공식품,3,5,0,1,1,0,0,0,2,1,5,0,2,7,3,0,0,19,7,6,11
농산물,3,4,1,8,0,0,0,0,3,4,7,0,6,2,1,0,0,7,7,7,20
농산물,5,4,1,6,3,0,0,0,0,4,5,0,8,2,1,0,0,9,12,2,10
농산물,3,4,3,1,1,1,0,0,0,5,8,0,9,4,2,0,0,9,4,0,3
기타식품,3,4,3,1,1,3,0,0,0,4,2,0,3,8,1,0,0,7,10,4,9
농산물,7,4,4,1,8,0,0,0,3,8,7,0,2,3,3,0,0,7,6,4,17
농산물,3,1,1,4,1,0,0,0,0,0,7,0,9,4,4,0,0,9,7,0,14
다이어트식품,3,5,0,1,1,0,0,0,3,1,5,0,8,7,4,0,0,17,8,6,7
농산물,3,1,1,3,5,0,0,0,0,2,0,0,4,1,1,0,0,9,10,1,12
농산물,3,2,6,2,0,0,0,0,0,0,7,0,9,8,1,0,0,9,10,3,16
농산물,3,4,1,2,8,1,0,0,0,7,0,0,9,3,4,0,0,7,3,7,9
농산물,3,1,1,5,6,0,0,0,0,2,2,0,3,0,4,0,0,9,7,2,9
농산물,4,4,6,1,7,0,0,0,2,5,2,0,8,6,3,0,0,9,10,1,12
농산물,3,4,3,7,7,0,0,0,1,2,0,0,6,6,1,0,0,9,14,8,12
농산물,31,2,8,2,0,0,0,0,0,3,0,0,0,6,2,0,0,7,12,2,13
농산물,3,4,7,1,1,3,0,0,7,4,8,0,0,2,4,0,0,7,7,8,18
농산물,3,4,1,4,5,0,0,0,0,0,6,0,6,5,2,0,0,7,7,8,18
문구/사무용품,10,5,0,1,1,0,0,0,3,1,8,0,5,8,2,0,0,4,1,4,7
기타패션의류,23,4,1,5,9,0,0,0,3,8,6,0,1,4,4,0,0,7,8,4,14
농산물,4,4,5,2,1,0,0,0,3,0,1,0,0,1,4,0,0,7,4,3,10
농산물,3,1,1,7,1,0,0,0,0,2,1,0,9,8,4,0,0,9,10,1,12
농산물,3,4,1,1,5,0,0,0,0,4,6,0,2,2,3,0,0,9,13,5,12
농산물,3,4,4,2,0,0,0,0,3,2,7,0,4,1,4,0,0,7,7,8,18
수산,4,4,6,1,3,0,0,0,3,4,0,0,1,4,4,0,0,7,10,4,13
농산물,3,2,8,2,0,0,0,0,0,4,3,0,8,6,2,0,0,7,7,8,18
농산물,3,1,1,1,7,0,0,0,0,0,8,0,4,5,2,0,0,9,10,5,14
농산물,3,4,6,1,3,0,0,0,4,5,0,0,1,4,1,0,0,7,10,9,12
계절가전,3,5,0,1,3,0,0,0,0,5,9,0,2,7,2,0,0,19,14,1,6
농산물,4,4,3,1,1,3,0,0,0,6,0,0,1,9,2,0,0,7,7,8,18
기타식품,3,4,3,7,4,0,0,0,3,0,1,0,9,2,2,0,0,9,12,0,6
농산물,3,5,0,1,3,0,0,0,6,8,4,0,0,7,1,0,0,19,4,9,9
농산물,3,3,1,2,0,0,0,0,1,3,5,0,0,2,3,0,0,9,4,6,11
농산물,3,4,5,1,1,1,0,0,0,1,3,0,3,2,1,0,0,9,0,9,11
농산물,8,4,8,8,9,0,0,0,2,0,0,0,7,9,4,0,0,9,10,1,12
농산물,3,4,1,3,9,0,0,0,0,9,0,0,4,3,3,0,0,9,8,3,6
문화컨텐츠,6,5,0,1,1,0,0,0,3,0,9,0,5,8,2,0,0,17,15,0,9
농산물,4,3,0,2,3,0,0,0,0,6,5,1,0,0,3,0,0,9,14,5,16
농산물,3,4,3,1,1,1,0,0,0,2,1,0,8,1,2,0,0,7,8,6,14
가공식품,12,5,0,1,3,0,0,0,8,6,7,0,1,8,2,0,0,10,1,7,7
축산,3,5,0,1,1,0,0,0,1,6,1,0,6,5,3,0,0,13,4,8,3
축산,4,5,0,1,3,0,0,0,8,6,6,0,0,7,3,0,0,16,10,8,10
농산물,3,4,1,1,1,3,0,0,0,1,4,0,2,8,2,0,0,9,10,1,12
베이스메이크업,14,5,0,1,1,0,0,0,2,1,4,0,2,5,1,0,0,16,0,1,7
농산물,3,4,1,2,9,0,0,0,0,2,4,0,5,2,2,0,0,7,7,8,18
농산물,3,4,1,2,8,7,0,0,0,3,6,0,5,6,3,0,0,7,7,8,18
기타식품,3,1,1,5,9,0,0,0,0,0,8,0,9,7,4,0,0,7,8,2,12
의료용품,10,5,0,1,1,0,0,0,1,7,3,0,8,6,2,0,0,21,4,5,12
농산물,3,4,3,1,3,0,0,0,6,7,3,0,6,4,1,0,0,7,13,4,14
수산,3,4,1,6,3,0,0,0,2,0,6,0,9,2,4,0,0,7,7,8,18
완구/매트,8,5,0,1,3,0,0,0,4,6,8,0,6,0,2,0,0,17,15,9,11
건강식품,3,5,0,1,3,0,0,0,8,2,3,0,8,8,1,0,0,19,6,9,16
농산물,5,3,0,2,3,0,0,0,0,7,1,0,6,7,2,0,0,7,16,4,16
농산물,4,4,7,8,5,0,0,0,4,2,1,0,5,0,3,0,0,7,9,0,8
농산물,3,3,0,1,7,0,0,0,0,2,2,0,9,2,4,0,0,7,7,8,18
농산물,4,4,5,1,3,0,0,0,3,2,6,0,0,4,4,0,0,7,6,2,17
농산물,3,4,2,1,3,0,0,0,3,3,3,0,4,6,3,0,0,7,7,8,18
축산,9,4,2,8,1,0,0,0,9,4,5,0,8,1,3,0,0,7,13,7,15
문화컨텐츠,6,5,0,1,1,0,0,0,4,3,4,0,8,9,3,0,0,17,15,0,9
농산물,6,1,1,5,6,0,0,0,0,2,0,0,5,2,1,0,0,9,7,0,14
냉동/간편조리식품,4,5,0,1,1,0,0,0,4,3,7,0,5,2,4,0,0,8,11,0,18
농산물,3,2,6,2,6,0,0,0,0,0,9,0,7,8,1,0,0,7,7,8,18
농산물,24,4,7,8,5,0,0,0,3,7,7,0,7,8,2,0,0,7,9,3,15
농산물,3,3,0,2,0,0,0,0,1,0,5,1,0,0,3,0,0,7,7,8,18
기타식품,6,5,0,1,1,0,0,0,2,1,3,0,4,5,1,0,0,13,4,7,13
상의,3,5,0,1,1,0,0,0,4,3,5,0,5,2,3,0,0,17,14,7,21
음향가전,7,5,0,1,1,0,0,0,3,7,3,0,5,3,3,0,0,17,14,7,16
헬스,3,5,0,1,1,0,0,0,4,6,8,0,4,0,4,0,0,16,12,6,9
농산물,3,1,1,1,4,0,0,0,0,0,5,0,0,9,2,0,0,9,7,0,14
농산물,3,4,5,1,8,0,0,0,5,0,0,0,2,6,2,0,0,7,6,4,17
농산물,3,4,1,1,3,1,0,0,0,3,2,0,4,4,1,0,0,9,13,5,21
주방용품,5,5,0,1,1,0,0,0,5,9,3,0,6,6,3,0,0,16,9,1,14
수산,4,3,0,2,0,0,0,0,1,2,1,0,1,4,4,0,0,7,4,6,9
상의,3,5,0,1,1,0,0,0,3,1,5,0,6,7,3,0,0,10,3,1,4
건강용품,3,5,0,1,1,0,0,0,3,1,5,0,3,6,3,0,0,10,3,1,4
농산물,3,4,8,1,2,3,0,0,0,3,0,0,4,1,3,0,0,9,13,6,10
기타식품,10,4,2,1,3,0,0,0,3,0,3,0,8,8,1,0,0,7,7,9,16
농산물,3,4,8,1,2,9,0,0,0,3,4,0,5,6,1,0,0,7,7,8,18
농산물,14,4,1,2,9,0,0,0,0,0,1,0,7,0,1,0,0,7,9,3,10
음료,48,5,0,1,1,0,0,0,2,1,4,0,1,1,1,0,0,14,8,3,11
농산물,4,4,6,1,5,0,0,0,8,4,0,0,3,8,2,0,0,9,9,3,15
아우터,5,5,0,1,1,0,0,0,3,1,4,0,5,0,2,0,0,10,3,1,4
농산물,5,4,2,1,1,0,0,0,6,1,4,0,0,7,2,0,0,7,12,5,14
농산물,4,4,7,8,5,0,0,0,1,6,4,0,3,4,3,0,0,7,14,5,14
농산물,3,1,1,3,2,0,0,0,0,1,8,0,7,3,1,0,0,9,13,6,10
농산물,18,4,3,1,1,1,0,0,0,5,2,0,3,8,3,0,0,9,5,1,3
농산물,3,4,8,3,3,0,0,0,3,8,8,0,9,8,2,0,0,7,7,8,18
농산물,3,4,1,2,9,0,0,0,0,2,4,0,2,5,2,0,0,9,7,0,14
농산물,3,4,1,1,1,7,0,0,0,1,5,0,8,3,2,0,0,7,6,4,14
농산물,4,4,2,2,3,0,0,0,0,5,8,0,2,7,3,0,0,9,10,4,20
농산물,9,1,1,1,4,0,0,0,0,0,3,0,7,1,2,0,0,7,8,5,13
기타식품,4,2,7,2,6,0,0,0,0,2,4,0,3,1,1,0,0,7,8,4,9
가공식품,3,5,0,1,3,0,0,0,0,3,3,0,3,7,3,0,0,17,6,1,10
농산물,4,1,1,6,2,0,0,0,0,0,9,0,5,2,1,0,0,9,7,0,14
농산물,3,1,1,4,7,0,0,0,0,1,1,0,9,3,3,0,0,9,7,0,14
농산물,3,2,8,2,3,7,0,0,0,2,5,0,0,9,3,0,0,7,6,4,17
농산물,3,4,3,1,1,1,0,0,0,2,6,0,4,8,4,0,0,7,7,8,18
농산물,3,3,1,1,7,0,0,0,0,3,4,0,3,9,4,0,0,7,8,8,9
농산물,3,2,6,2,9,0,0,0,0,2,1,0,7,7,3,0,0,7,7,8,18
PC,3,5,0,1,1,0,0,0,2,1,4,0,6,4,3,0,0,10,0,9,8
완구/매트,6,5,0,1,1,0,0,0,3,7,2,0,6,8,2,0,0,17,11,0,17
농산물,5,4,1,1,1,5,0,0,0,0,9,0,7,0,3,0,0,7,7,8,18
농산물,3,4,1,2,8,7,0,0,0,1,0,0,6,0,4,0,0,9,7,0,14
농산물,3,4,2,8,2,0,0,0,3,5,9,0,3,8,4,0,0,9,4,5,13
음반,3,1,1,5,0,0,0,0,0,3,3,0,0,9,2,0,0,7,14,5,11
음반,7,4,1,2,2,0,0,0,2,3,3,0,8,8,4,0,0,7,14,5,11
농산물,4,4,1,4,6,3,0,0,0,3,5,0,0,5,3,0,0,7,3,3,10
농산물,24,4,6,8,4,0,0,0,2,2,7,0,3,2,4,0,0,7,3,3,13
농산물,3,1,1,6,8,0,0,0,0,1,3,0,8,6,2,0,0,9,10,1,12
농산물,4,4,2,1,5,0,0,0,4,1,9,0,8,6,4,0,0,9,10,1,12
공구,3,5,0,1,1,0,0,0,3,7,1,0,5,9,2,0,0,10,1,4,11
문화컨텐츠,5,5,0,1,3,0,0,0,8,2,2,0,2,1,4,0,0,17,15,0,10
수산,4,2,7,2,0,0,0,0,0,0,9,0,2,3,1,0,0,7,9,0,17
향수,3,5,0,1,3,0,0,0,9,2,2,0,2,5,1,0,0,13,0,3,7
농산물,12,5,0,1,1,0,0,0,3,7,8,0,8,0,4,0,0,11,13,9,12
농산물,4,4,2,1,3,0,0,0,3,0,4,0,2,9,4,0,0,7,11,1,7
과자,3,4,7,8,3,0,0,0,0,2,3,0,8,2,1,0,0,9,9,8,5
농산물,4,4,4,2,7,0,0,0,4,8,1,0,4,2,4,0,0,9,5,8,13
농산물,4,1,1,4,4,0,0,0,0,0,2,0,4,9,2,0,0,7,4,7,4
농산물,7,4,3,1,1,1,0,0,0,2,1,0,7,3,4,0,0,9,10,1,12
기타디지털/가전,3,5,0,1,1,0,0,0,1,9,9,0,6,4,1,0,0,10,0,9,17
농산물,3,4,1,2,7,1,0,0,0,3,6,0,8,6,2,0,0,9,13,8,14
농산물,3,4,5,7,9,0,0,0,5,2,1,0,1,6,2,0,0,9,7,6,13
농산물,3,4,3,1,1,3,0,0,0,5,1,0,8,4,3,0,0,9,14,7,10
음료,3,5,0,1,1,0,0,0,2,6,4,0,3,6,2,0,0,19,6,9,16
농산물,3,4,1,2,7,3,0,0,0,2,8,0,5,8,1,0,0,7,4,2,11
농산물,5,4,1,1,3,5,0,0,0,0,3,0,3,2,2,0,0,7,7,8,18
음반,8,4,8,3,3,0,0,0,2,9,2,0,6,8,4,0,0,7,14,5,11
음료,13,5,0,1,1,0,0,0,2,6,6,0,6,5,2,0,0,17,7,6,10
농산물,3,4,1,4,8,0,0,0,6,8,3,0,1,5,1,0,0,9,10,2,15
기타화장품/미용,56,5,0,1,1,0,0,0,3,7,3,0,2,0,2,0,0,24,0,9,11
농산물,3,4,1,1,3,5,0,0,0,6,3,0,6,2,2,0,0,7,3,3,10
음반,5,1,1,3,8,0,0,0,0,2,5,0,3,0,4,0,0,7,14,5,11
농산물,3,1,1,1,1,0,0,0,0,2,2,0,5,0,4,0,0,9,7,0,14
농산물,3,3,1,2,0,0,0,0,0,5,7,0,1,6,1,0,0,7,7,8,18
농산물,3,2,6,5,3,0,0,0,0,0,4,0,5,1,3,0,0,9,7,0,14
농산물,3,4,8,2,5,0,0,0,3,1,2,0,7,0,3,0,0,9,4,6,6
기타스포츠/레저,10,5,0,1,1,0,0,0,9,4,5,0,7,9,3,0,0,21,7,4,13
농산물,3,4,1,4,6,3,0,0,0,1,1,0,4,8,1,0,0,7,7,8,18
농산물,17,1,1,2,6,0,0,0,0,1,9,0,0,7,4,0,0,9,4,3,10
가공식품,32,5,0,1,1,0,0,0,3,1,5,0,4,2,3,0,0,7,4,8,7
하의,3,5,0,1,1,0,0,0,3,7,2,0,6,5,1,0,0,18,5,1,12
농산물,3,4,7,1,1,3,0,0,7,2,8,0,0,4,4,0,0,7,7,8,18
농산물,3,2,6,2,6,0,0,0,0,0,7,0,9,7,3,0,0,7,8,1,12
농산물,21,4,5,1,9,0,0,0,4,1,0,0,4,5,2,0,0,7,6,4,5
농산물,4,4,1,5,9,0,0,0,1,8,0,0,8,9,4,0,0,9,7,0,14
농산물,4,1,1,2,1,5,0,0,0,1,3,0,2,8,4,0,0,7,14,5,14
건강식품,17,5,0,1,1,0,0,0,1,6,8,0,9,5,3,0,0,12,5,4,6
농산물,3,1,1,5,9,0,0,0,0,0,7,0,0,2,2,0,0,7,4,8,4
농산물,3,2,8,2,3,7,0,0,0,0,5,0,5,2,4,0,0,7,4,4,10
침구세트,3,5,0,1,1,0,0,0,2,1,0,0,4,7,1,0,0,17,12,4,16
음료,5,1,1,4,7,0,0,0,0,0,6,0,2,5,1,0,0,7,3,2,13
농산물,3,3,0,1,1,0,0,0,0,5,4,0,3,7,1,0,0,9,14,6,17
농산물,3,4,1,3,6,0,0,0,2,6,1,0,4,8,2,0,0,9,7,0,14
농산물,5,2,7,1,7,0,0,0,0,1,4,0,6,2,2,0,0,9,5,5,7
축산,3,4,3,8,0,0,0,0,4,6,8,0,3,5,3,0,0,7,13,7,15
농산물,3,4,4,8,1,0,0,0,2,7,2,0,3,8,2,0,0,7,7,8,18
반려동물,4,5,0,1,1,0,0,0,3,1,6,0,4,1,3,0,0,14,3,6,12
농산물,3,1,1,7,1,0,0,0,0,3,1,0,3,2,4,0,0,9,10,1,12
농산물,4,3,0,2,0,0,0,0,1,1,3,0,4,9,4,0,0,9,7,0,14
농산물,3,4,1,5,0,0,0,0,2,2,7,1,0,0,2,0,0,7,6,4,14
문화컨텐츠,3,5,0,1,3,0,0,0,6,6,1,0,5,1,4,0,0,12,0,3,10
농산물,3,4,8,3,3,0,0,0,2,0,2,0,9,6,1,0,0,7,7,8,18
문화컨텐츠,5,5,0,1,1,0,0,0,3,1,9,0,8,7,4,0,0,17,15,0,9
농산물,3,3,0,1,7,0,0,0,0,2,9,0,8,1,4,0,0,9,10,1,12
아우터,4,5,0,1,3,0,0,0,8,6,0,0,1,9,2,0,0,10,3,1,4
농산물,4,1,1,6,2,0,0,0,0,1,6,0,2,8,1,0,0,9,7,0,14
농산물,7,4,1,5,9,0,0,0,2,5,3,0,1,8,1,0,0,9,13,3,4
농산물,3,4,5,1,3,0,0,0,2,2,4,0,9,1,1,0,0,9,13,5,19
농산물,3,4,3,7,1,0,0,0,1,5,9,0,6,3,1,0,0,7,7,8,18
농산물,3,4,5,1,3,0,0,0,2,2,4,0,9,1,1,0,0,9,7,0,14
농산물,5,4,1,2,2,0,0,0,0,5,3,0,6,8,3,0,0,9,7,0,14
음료,8,5,0,1,1,0,0,0,3,0,3,0,7,1,4,0,0,19,6,9,16
축산,9,4,4,1,5,0,0,0,4,8,1,0,5,9,1,0,0,7,8,5,16
기타식품,3,1,1,7,1,0,0,0,0,2,7,0,0,6,2,0,0,7,11,9,12
농산물,3,4,5,1,1,1,0,0,0,2,3,0,8,1,3,0,0,9,7,0,14
기타식품,3,1,1,5,3,0,0,0,0,1,2,0,8,7,3,0,0,7,3,4,16
농산물,5,2,9,2,0,0,0,0,0,7,0,0,6,7,3,0,0,9,3,8,22
수산,3,4,1,4,5,0,0,0,0,0,9,0,0,6,4,0,0,7,4,6,9
기타패션의류,13,5,0,1,1,0,0,0,3,1,8,0,4,1,4,0,0,18,7,0,18
가공식품,3,5,0,1,1,0,0,0,1,1,2,0,5,3,1,0,0,14,8,8,12
농산물,4,2,7,2,3,0,0,0,0,8,4,0,5,9,2,0,0,7,3,3,10
농산물,3,1,1,4,4,0,0,0,0,2,5,0,7,4,4,0,0,7,8,5,13
침구단품,3,5,0,1,1,0,0,0,3,1,3,0,8,5,4,0,0,16,5,8,2
농산물,6,1,1,7,1,0,0,0,0,2,1,0,9,3,4,0,0,9,11,0,10
농산물,3,4,1,4,6,5,0,0,0,2,8,0,7,7,2,0,0,7,7,8,18
상의,5,5,0,1,1,0,0,0,2,1,9,0,2,3,3,0,0,16,1,1,13
농산물,3,4,7,1,9,0,0,0,6,0,5,0,9,9,2,0,0,9,10,1,12
음반,3,1,1,5,6,0,0,0,0,1,2,0,5,2,2,0,0,7,14,5,11
농산물,7,4,6,1,3,0,0,0,3,3,9,0,4,0,2,0,0,7,15,8,17
농산물,3,4,1,2,7,3,0,0,1,0,0,0,6,7,4,0,0,7,8,2,11
농산물,17,2,8,1,7,0,0,0,0,1,7,0,5,6,1,0,0,9,7,6,13
농산물,5,4,8,8,8,0,0,0,5,0,7,0,9,6,4,0,0,9,7,6,17
농산물,3,1,1,5,3,0,0,0,0,0,8,0,6,7,3,0,0,9,7,0,14
농산물,8,4,8,3,3,0,0,0,4,4,7,0,3,4,3,0,0,9,4,5,3
농산물,3,1,1,5,0,0,0,0,0,3,1,0,8,9,4,0,0,9,10,1,20
농산물,4,4,1,2,7,3,0,0,0,0,7,0,4,5,3,0,0,9,9,6,4
건강식품,3,5,0,1,1,0,0,0,1,6,7,0,9,4,2,0,0,20,2,8,17
농산물,4,2,6,3,5,0,0,0,0,6,2,0,0,9,3,0,0,9,7,0,14
냉동/간편조리식품,3,5,0,1,3,0,0,0,8,6,6,0,4,8,4,0,0,12,2,3,12
농산물,6,4,1,3,9,0,0,0,0,7,3,0,0,3,2,0,0,9,14,7,12
농산물,3,4,1,1,1,3,0,0,0,4,1,0,3,7,2,0,0,7,8,6,8
농산물,23,4,4,1,8,0,0,0,1,1,1,0,0,5,3,0,0,7,7,7,20
건강식품,4,5,0,1,1,0,0,0,3,7,7,0,4,0,4,0,0,10,3,1,4
농산물,3,2,8,2,3,7,0,0,0,1,8,0,3,0,1,0,0,9,14,8,12
농산물,3,4,1,1,7,3,0,0,0,2,5,0,4,3,3,0,0,9,13,5,19
농산물,3,2,7,2,9,0,0,0,0,2,0,0,6,4,1,0,0,9,10,1,12
가공식품,5,5,0,1,1,0,0,0,2,6,5,0,3,4,3,0,0,14,1,7,7
건강식품,4,5,0,1,3,0,0,0,0,3,2,0,7,0,3,0,0,19,6,9,16
농산물,3,1,1,6,2,0,0,0,0,0,4,0,2,5,3,0,0,9,7,0,14
농산물,3,3,1,1,4,0,0,0,0,3,6,0,1,6,1,0,0,7,8,5,15
과자,3,4,3,7,5,0,0,0,2,5,7,0,2,2,1,0,0,7,3,5,8
건강용품,4,5,0,1,3,0,0,0,6,3,6,0,5,3,4,0,0,16,5,8,2
농산물,3,4,5,1,1,1,0,0,0,2,3,0,3,9,3,0,0,7,7,7,20
생활용품,6,5,0,1,3,0,0,0,6,8,4,0,2,5,1,0,0,10,1,7,14
상의,3,5,0,1,1,0,0,0,4,2,9,0,0,7,3,0,0,10,0,5,16
반려동물,3,5,0,1,1,0,0,0,3,7,4,0,2,6,2,0,0,17,15,9,11
농산물,3,4,1,1,7,3,0,0,0,1,4,0,6,9,1,0,0,7,7,8,18
농산물,3,4,7,1,9,0,0,0,6,0,5,0,8,7,4,0,0,7,7,8,18
음반,4,1,1,4,1,0,0,0,0,1,7,0,9,2,4,0,0,7,14,5,11
농산물,3,1,1,5,0,0,0,0,0,4,0,0,2,4,2,0,0,7,7,8,18
음료,3,5,0,1,1,0,0,0,3,7,3,0,7,7,1,0,0,12,4,2,8
농산물,3,4,1,4,1,0,0,0,0,1,8,0,5,6,2,0,0,7,3,3,10
농산물,3,3,0,1,7,0,0,0,0,3,5,0,2,7,3,0,0,7,7,5,11
농산물,3,2,7,2,9,0,0,0,0,1,0,0,6,1,3,0,0,9,10,1,12
